10004,2013,First Christian Church,63-0680185,1327 Leighton Ave,,36207-4668,Anniston,AL,1327 Leighton Ave,,36207-4668,Anniston,AL,Calhoun,,(256) 236-1316,(256) 236-1316,fccanniston@bellsouth.net,www.fccanniston.org,Alabama-Northwest Florida,2,Y,laurahutchinson@bellsouth.net,46,00:00.0,37.418449,-122.025406,High
10005,2013,First Christian Church,63-0859872,"400 W Market, P O Box 966",,35612-0966,Athens,AL,P O Box 966,,35612-0966,Athens,AL,Limestone,,(256) 232-5611,(256) 232-5611,fccathens@pclnet.net,www.firstchristianathens.org,Alabama-Northwest Florida,1,Y,CJ.Cobb@wyle.com,98,00:00.0,34.80345905,-86.97342552,High
10006,2013,Village Christian Church,63-0821462,700 E University Ave,,36830-6059,Auburn,AL,700 E University Ave,,36830-6059,Auburn,AL,Lee,,(334) 887-5111,,vilcc@bellsouth.net,www.vccauburn.com,Alabama-Northwest Florida,3,Y,,15,00:00.0,32.58468628,-85.46782684,High
10007,2013,First Christian Church,63-0696453,8755 Bluff Ridge Rd,,35022-4138,Bessemer,AL,8755 Bluff Ridge Rd,,35022-4138,Bessemer,AL,Jefferson,,(205) 428-2412,(205) 428-3529,fccbess@bellsouth.net,,Alabama-Northwest Florida,2,Y,,20,00:00.0,33.25561142,-86.99079132,High
10010,2013,First Christian Church,63-0288830,4954 Valleydale Rd,,35242-4613,Birmingham,AL,4954 Valleydale Rd,,35242-4613,Birmingham,AL,Shelby,,(205) 991-5000,(205) 991-5164,info@fcc-bhm.org,www.fcc-bhm.org,Alabama-Northwest Florida,2,Y,troy@fcc-bhm.org,307,00:00.0,33.4005661,-86.71595764,High
10011,2013,New Vision Christian Church,03-0503516,1779 Jefferson Ave SW,,35211-3363,Birmingham,AL,1779 Jefferson Ave SW,,35211-3363,Birmingham,AL,Jefferson,,(205) 925-3345,,,,Alabama-Northwest Florida,2,Y,,63,00:00.0,33.47871535,-86.86518967,High
10012,2013,Macedonia Christian Church,63-6044090,2438 Wenonah Oxmoor Rd SW,,35211-5944,Birmingham,AL,2438 Wenonah Oxmoor Rd SW,,35211-5944,Birmingham,AL,Jefferson,,(205) 942-7274,,,,Alabama-Northwest Florida,2,Y,klhsr@yahoo.com,34,00:00.0,33.433884,-86.860741,High
10013,2011,Roebuck Christian Church,63-0829068,8701 Fourth Ave S,,35206-2125,Birmingham,AL,8701 Fourth Ave S,,35206-2125,Birmingham,AL,Jefferson,,(205) 833-8100,,,,Alabama-Northwest Florida,2,Y,,0,00:00.0,33.574257,-86.711288,High
10014,2013,Valley Christian Church,63-0702739,2600 Cherokee Pl,,35216-1010,Birmingham,AL,2600 Cherokee Pl,,35216-1010,Birmingham,AL,Jefferson,,(205) 879-0419,,valleycc@bellsouth.net,www.vccbhm.org,Alabama-Northwest Florida,2,Y,,80,00:00.0,33.470028,-86.761719,High
10015,2013,Pleasant View Christian Church,63-0862221,24404 Veterans Memorial Pkwy,,36850-2584,Camp Hill,AL,3478 County Rd 9,,36862-4720,Lafayette,AL,Tallapoosa,,,,,,Alabama-Northwest Florida,3,Y,gj_wondering@yahoo.com,9,00:00.0,32.84644894,-85.54467849,High
10016,2013,Cottondale Christian Church,63-0858223,"2110 Buttermilk Rd, P O Box 82",,35453-0101,Cottondale,AL,P O Box 82,,35453-0101,Cottondale,AL,Tuscaloosa,,(205) 826-5954,,,,Alabama-Northwest Florida,2,Y,mwjw8491@gmail.com,48,00:00.0,33.18727992,-87.44920984,High
10020,2013,First Christian Church,63-0500387,1701 Carridale St SW,,35601-4637,Decatur,AL,1701 Carridale St SW,,35601-4637,Decatur,AL,Morgan,,(256) 353-8421,(256) 351-6008,office@fccdecatur.com,www.fccdecatur.com,Alabama-Northwest Florida,1,Y,pastorc@fccdecatur.com,87,00:00.0,34.574528,-87.010681,High
10021,2011,First Christian Church,63-0861963,1401 N Cherokee Ave,,36303-2625,Dothan,AL,1401 N Cherokee Ave,,36303-2625,Dothan,AL,Houston,,(334) 792-2401,,,,Alabama-Northwest Florida,4,Y,bill@winchesterfinancial.com,45,00:00.0,31.24538422,-85.4177475,High
10022,2011,Eutaw Christian Church,63-0736499,"214 Main St, P O Box 202",,35462-0202,Eutaw,AL,P O Box 202,,35462-0202,Eutaw,AL,Greene,,(205) 372-2363,,,,Alabama-Northwest Florida,2,Y,,0,00:00.0,32.84106039,-87.88910218,High
10024,2011,Fairfax First Christian Church,63-0861472,302 Boulevard,,36854-4849,Valley,AL,302 Boulevard,,36854-4849,Valley,AL,Chambers,,(334) 756-3941,,,,Alabama-Northwest Florida,3,Y,,0,00:00.0,32.75358963,-85.18418121,Medium
10025,2013,Fairhope Christian Church,63-0827183,349 Fairwood Blvd,,36532-2708,Fairhope,AL,349 Fairwood Blvd,,36532-2708,Fairhope,AL,Baldwin,,(251) 928-8495,,fairhopechristia@bellsouth.net,www.fairhopechristianchurch.org,Alabama-Northwest Florida,5,Y,dbmchap@yahoo.com,135,00:00.0,30.52977137,-87.89864749,High
10026,2013,Cedar Plains Christian Church,63-0861570,"930 Cedar Plains Rd, P O Box 603",,35622-0603,Falkville,AL,P O Box 603,,35622-0603,Falkville,AL,Morgan,,(256) 232-8212,,pwgilbert@bellsouth.net,,Alabama-Northwest Florida,3,Y,gilberp@bellsouth.net,13,00:00.0,34.36405823,-86.99682914,High
10028,2013,First Christian Church,63-0319213,700 N Wood Ave,,35630-3403,Florence,AL,700 N Wood Ave,,35630-3403,Florence,AL,Lauderdale,,(256) 764-2192,(256) 764-2183,firstchristianc1@bellsouth.net,www.firstchristianflorence.org,Alabama-Northwest Florida,1,Y,timmurtaugh@hotmail.com,279,00:00.0,34.809715,-87.677666,High
10030,2013,Snow Hill Christian Church,,126 Snow Hill Dr,,36032-5144,Fort Deposit,AL,126 Snow Hill Dr,,36032-5144,Fort Deposit,AL,Lowndes,,(334) 227-0011,(334) 227-0011,,,Alabama-Northwest Florida,4,Y,braxtondale@hotmail.com,170,00:00.0,31.99269676,-86.58685303,Medium
10032,2013,Harrison Street Christian Church,63-1043276,"502 Harrison St, P O Box 176",,36037-0176,Greenville,AL,P O Box 176,,36037-0176,Greenville,AL,Butler,,(334) 382-9381,,hscc@camelliacom.com,,Alabama-Northwest Florida,4,Y,,120,00:00.0,31.82257667,-86.62680164,High
10033,2013,First Christian Church,63-0902941,"209 Main St E, P O Box 1188",,35640-1188,Hartselle,AL,P O Box 1188,,35640-1188,Hartselle,AL,Morgan,,(256) 773-6911,,,fcchartselle.org,Alabama-Northwest Florida,1,Y,JeremyHarbin@gmail.com,96,00:00.0,34.445114,-86.931274,High
10034,2011,Hayneville Christian Church,,P O Box 215,,36040-0215,Hayneville,AL,P O Box 215,,36040-0215,Hayneville,AL,Lowndes,,(334) 548-2313,,,,Alabama-Northwest Florida,4,Y,,0,00:00.0,not found,not found,not found
10035,2013,Little Union Christian Church,,"500 Pine St, P O Box 853",,36040-0853,Hayneville,AL,P O Box 853,,36040-0853,Hayneville,AL,Lowndes,,(334) 548-6280,,,,Alabama-Northwest Florida,4,Y,,17,00:00.0,32.17748255,-86.58581346,High
10036,2013,Sellers Memorial Christian Church,36-4633993,640 Freedom Rd,,36040-4415,Hayneville,AL,c/o Clifford Jackson,P O Box 614,36040-0614,Hayneville,AL,Lowndes,,(334) 563-9147,,sellers_memccdoc@hotmail.com,,Alabama-Northwest Florida,4,Y,cjackson614@msn.com,16,00:00.0,32.28748865,-86.71987496,High
10037,2011,Woods Chapel Christian Church,,County Road 2,,36040,Hayneville,AL,300 Rosedon Dr,,36116-3722,Montgomery,AL,Lowndes,,,,,,Alabama-Northwest Florida,4,Y,,0,00:00.0,32.16019821,-86.6379776,High
10038,2013,First Christian Church,63-6017148,3209 Whitesburg Dr SE,,35802-1007,Huntsville,AL,3209 Whitesburg Dr SE,,35802-1007,Huntsville,AL,Madison,,(256) 881-0150,(256) 881-0181,office@fcc-hsv.org,www.fcc-hsv.org,Alabama-Northwest Florida,1,Y,pg@fcc-hsv.org,293,00:00.0,34.702953,-86.568489,High
10040,2013,First Christian Church,63-0815400,"400 W 18th St, P O Box 789",,35502-0789,Jasper,AL,P O Box 789,,35502-0789,Jasper,AL,Walker,,(205) 384-6302,,,,Alabama-Northwest Florida,2,Y,,47,00:00.0,33.83348174,-87.28656337,High
10041,2011,First Christian Church,63-0720612,"312 S First Ave, P O Box 452",,36863-0452,Lanett,AL,P O Box 452,,36863-0452,Lanett,AL,Chambers,,(334) 644-4337,,,,Alabama-Northwest Florida,3,Y,,0,00:00.0,32.8654819,-85.18933408,High
10043,2013,Big Union Christian Church,,4489 County Rd 33,,36047-5738,Letohatchee,AL,4489 County Rd 33,,36047-5738,Letohatchee,AL,Lowndes,,(334) 270-4015,,,,Alabama-Northwest Florida,4,Y,Silmontim@yahoo.com,100,00:00.0,32.09460564,-86.58279598,High
10044,2013,Mount Moriah Christian Church,63-1037231,"Rt 1, Box 234",,36047-9728,Letohatchee,AL,P O Box 417,,36032-0417,Fort Deposit,AL,Lowndes,,,(334) 227-1233,,,Alabama-Northwest Florida,4,Y,,30,00:00.0,32.0490799,-86.22093201,High
